,utcTime,frame,keplerianPeriodMillis,semiMajorAxis,eccentricity,inclination,rightAscensionAscendingNode,argumentPeriapsis,meanAnomaly
1189,2026-01-05T00:41:12.301Z,EME2000,6371114.408861078,7427961.011947032,0.00023549765536975682,1.553346463474507,6.276011947650878,2.9900372633719856,0.8385891852714172
1190,2026-01-05T00:48:20Z,EME2000,6371156.639282112,7427993.835673443,0.00023566917183875542,1.553348104725715,6.276005112953062,3.0155334808036036,1.2343904321061456
1191,2026-01-05T00:49:00.712Z,EME2000,6371157.317378256,7427994.362725192,0.0002353096038367416,1.553348193166079,6.276004460999814,3.016528898589548,1.2734972311383561
1192,2026-01-05T00:50:14.427Z,EME2000,6371156.876796748,7427994.0202822285,0.0002346116776180199,1.55334834314479,6.276003312106843,3.0173045703595496,1.3453339982412138
1193,2026-01-05T00:55:39.653Z,EME2000,6371137.381650372,7427978.867628129,0.00023285110659556103,1.5533487732999987,6.275999041990905,3.009185303822351,1.6738073730300942
1194,2026-01-05T00:56:40Z,EME2000,6371133.6922555575,7427976.000034508,0.00023294562265149983,1.553348772707183,6.275998387786204,3.0075359229347467,1.734899414062867
1195,2026-01-05T01:05:00Z,EME2000,6371149.933628931,7427988.6236884445,0.00023315965500846065,1.5533476624074456,6.275992338164601,3.014343749212538,2.220596371213173
1196,2026-01-05T01:13:20Z,EME2000,6371161.468187935,7427997.588950927,0.0002325581082485286,1.5533471217915382,6.27598279108873,3.0100064647399294,2.71744357557445
1197,2026-01-05T01:21:40Z,EME2000,6371112.291765707,7427959.366426146,0.00023857638113163754,1.5533482720842198,6.275972175276478,3.0053940164056026,3.2145655857949094
1198,2026-01-05T01:30:00Z,EME2000,6371033.532864824,7427898.150624358,0.0002453583031213404,1.5533499736285432,6.275962183540213,3.048001593084331,3.6644570994722376
1199,2026-01-05T01:34:21.343Z,EME2000,6371030.745797881,7427895.98435617,0.0002409728428625364,1.5533507242260007,6.275957271915965,3.0657498034853603,3.904129012315138
1200,2026-01-05T01:38:20Z,EME2000,6371039.998017155,7427903.175710128,0.00023539522237516706,1.553351499918363,6.275953170756213,3.0632252771989847,4.141731566767353
1201,2026-01-05T01:39:17.310Z,EME2000,6371043.309753455,7427905.749780134,0.00023418236677702532,1.5533516893960748,6.2759522547737125,3.060143700672019,4.20126371966507
1202,2026-01-05T01:46:40Z,EME2000,6371107.463733384,7427955.613817936,0.0002303675414366435,1.5533524406015427,6.275944777019232,3.011206129417255,4.686257980713155
1203,2026-01-05T01:52:36.067Z,EME2000,6371170.844927669,7428004.877039439,0.00023673756717634554,1.553352600495725,6.2759352677683085,2.988508195267967,5.059694215293789
1204,2026-01-05T01:55:00Z,EME2000,6371181.467372139,7428013.133349969,0.00023900831814874,1.5533530894375813,6.275930512386132,2.9943434558222632,5.195638377480304
