,utcTime,frame,isInsolating,q0,q1,q2,q3,mass,X,Y,Z,Vx,Vy,Vz
633,2026-01-03T03:36:05.162Z,EME2000,True,0.3899223563614996,-0.005154339324485951,-0.9208045556858763,0.00727729508538874,510.0,5338118.894852485,69739.50336491427,5172031.843070047,-5096.637293897053,111.00083834775029,5253.774140475244
634,2026-01-03T03:40:00Z,EME2000,True,0.28107477369561373,-0.004283276512179253,-0.9596444131241413,0.0078246721274615,510.0,4009919.8302816777,93720.23454059561,6256988.105712952,-6164.412193866504,92.3244650963592,3945.225014953468
635,2026-01-03T03:48:20Z,EME2000,True,0.038714464437738925,-0.0022555155375329366,-0.9992104581581951,0.008634998566819544,510.0,575209.5815921586,126934.26613018487,7407616.98695394,-7296.219517151398,37.857209083334695,564.6223732340421
636,2026-01-03T03:54:42.119Z,EME2000,True,-0.14888002801783648,-0.0006093120076045212,-0.9888149831222042,0.008904782384808319,510.0,-2187802.424512205,132209.40588001363,7100325.663371373,-6994.7332685063375,-10.5721668367264,-2154.20764764257
637,2026-01-03T03:56:40Z,EME2000,True,-0.20600182355704566,-9.454276541252812e-05,-0.9785109041791209,0.008924693574381097,510.0,-2995815.873186857,130078.84192948115,6799167.33151026,-6698.808604182924,-25.535739931347056,-2949.621341061906
638,2026-01-03T03:58:48.248Z,EME2000,True,-0.2673560588480782,0.00046592815533853484,-0.9635564814791403,0.008912222378073709,510.0,-3828833.031450554,125779.37248922806,6367714.137293467,-6274.64542622288,-41.42608272997326,-3769.9248998481517
639,2026-01-03T04:02:52.801Z,EME2000,True,-0.38120581067878107,0.0015284831606422581,-0.9244471453262423,0.008790286805470483,510.0,-5238179.927265054,112122.94887172214,5270683.538776031,-5195.330667586979,-69.72555980150992,-5158.595897877119
640,2026-01-03T04:05:00Z,EME2000,True,-0.43834547118234735,0.0020739045452199123,-0.8987622962766382,0.008676497300623597,510.0,-5856261.547636522,102399.26273544518,4574849.2253380045,-4510.238740412406,-82.96570425090653,-5768.012166673059
641,2026-01-03T04:13:20Z,EME2000,True,-0.6442824165683168,0.004122303614364844,-0.7647356789823803,0.007906681045729518,510.0,-7324955.744308622,50403.924486794705,1261180.6110071535,-1244.2667141745574,-120.80278418908226,-7217.248263615096
642,2026-01-03T04:19:40.269Z,EME2000,True,-0.7754565832600756,0.0055221206591183685,-0.631337941260121,0.00699982767413952,510.0,-7278462.352326607,2037.9710287636663,-1507115.1808994676,1485.8954069129866,-130.58949982255984,-7171.144226236848
643,2026-01-03T04:21:40Z,EME2000,True,-0.811330599867421,0.005925441805670301,-0.5845195975194076,0.006662354983648165,510.0,-7050341.915695781,-13575.324757173676,-2353221.214092309,2320.181509992237,-129.91367642352014,-6945.840224694399
644,2026-01-03T04:28:04.621Z,EME2000,True,-0.9069071878190971,0.007076298264489558,-0.4212360312661693,0.0054299768006687435,510.0,-5678889.43127773,-61391.334452789815,-4793742.922302984,4725.094911935107,-115.74976878394,-5592.463270100718
